year,number
1970,"1,007"
1971,"1,025"
1972,953
1973,966
1974,923
1975,874
1976,796
1977,825
1978,751
1979,863
1980,863
1981,867
1982,848
1983,769
1984,675
1985,655
1986,636
1987,624
1988,633
1989,639
1990,650
1991,709
1992,731
1993,716
1994,721
1995,715
1996,691
1997,675.4
1998,641.6
1999,620.7
2000,640.1
2001,559.9
2002,496.9
2003,495
2004,477
2005,438.7
2006,451.8
2007,496.8
2008,465.9
2009,444.8
2010,470.2
2011,471.3
2012,484.6
2013,436.5
2014,435.4
2015,438.4
2016,406.2
2017,357.8
2018,326.8
2019,302.7
2020,272.3
2021,260.6
2022,249.1
2023,230
