id,location,latitude,longitude,country,continent,c02_emissions,coastal_population2010_sum,total_population2010_sum,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Brest,48.383,-4.495,FRA,Europe,4.57,2983590,63125894,66,78,66,89,94,104,99,109,84,120,128,130,112,80,84,112,141,140,134,143,128,137,161,155,165,153,145,98,137,133,161,170,181,143,149,174,227,153,183,159,
61,Marseille,43.279,5.354,FRA,Europe,4.57,2983590,63125894,112,125,93,76,90,107,90,97,96,114,98,93,98,117,,107,,115,170,,,134,139,143,137,144,162,,,128,152,206,,183,178,189,245,160,173,,
453,Le Havre,49.482,0.106,FRA,Europe,4.57,2983590,63125894,49,77,58,73,43,,,79,37,,107,81,57,-8,,,83,91,37,45,60,105,119,109,112,96,98,64,85,95,97,100,93,80,95,106,155,112,123,126,
467,Cherbourg,49.651,-1.636,FRA,Europe,4.57,2983590,63125894,,27,4,-6,54,51,48,33,27,41,45,51,10,-23,-12,23,74,79,33,49,57,45,71,71,82,62,62,26,63,51,75,83,79,57,54,71,122,67,95,83,
1247,Port Tudy,47.644,-3.446,FRA,Europe,4.57,2983590,63125894,20,33,33,43,48,57,48,44,17,63,60,49,12,9,22,50,,55,73,89,,,114,106,102,87,98,74,120,90,101,103,133,79,68,95,154,80,112,87,
1294,Le Conquet,48.359,-4.781,FRA,Europe,4.57,2983590,63125894,18,34,36,66,26,30,20,,,30,45,34,16,1,-11,41,,74,78,96,76,84,92,,136,86,82,41,84,60,91,100,112,86,100,118,167,96,,102,
1347,Roscoff,48.718,-3.966,FRA,Europe,4.57,2983590,63125894,40,70,38,45,78,83,,63,37,,68,60,39,3,22,66,,101,72,90,68,73,118,84,,109,85,56,89,64,97,105,105,66,84,100,157,95,115,108,
1468,Nice,43.69600000000001,7.286,FRA,Europe,4.57,2983590,63125894,0,114,95,73,69,76,66,71,72,83,55,128,137,122,124,133,128,,,,,97,98,122,127,113,121,103,101,,,191,220,148,150,165,210,152,163,,
1801,Boucau,43.527,-1.515,FRA,Europe,4.57,2983590,63125894,-30,-33,-58,-83,-67,-61,-98,-62,-98,-54,-22,-94,-87,-146,-42,-104,-62,-41,-16,,,,3,3,-12,16,-22,,-65,-67,-32,15,12,,-32,40,87,15,21,,
95,North Shields,55.007,-1.44,GBR,Europe,6.5,6662984,62417431,,,,194,200,,141,165,173,178,206,212,218,142,179,,206,191,159,194,,220,215,226,251,252,265,250,258,243,244,214,,231,223,222,249,243,255,274,
