Year,01~02,03~05,06~11,12~18,19~29,30~49,50~64,65~
2001,15.7,16.8,16.1,21.5,20.8,15.5,17.4,27.8
2005,8.7,7.1,6.7,14.5,16,10.2,9.7,15.8
2007,18.1,15.5,11.3,19.9,21.8,14.1,13.7,27.5
2008,7.6,6.7,6.8,20,20.7,11.2,9.3,20.5
2009,8.2,7.4,7.9,21.9,19.2,11.9,9.1,22.6
2010,4.9,7,7.5,15.6,14.8,8.1,5.7,14.7
2011,11.4,6,4.3,14.9,15.4,9.3,5.9,17
2012,9.3,7.6,7.3,17,17.1,10.3,8,15.6
2013,5.9,5.9,4.1,15.9,13.3,7.5,3.1,8.5
2014,12.7,4.8,3.5,15.4,12.4,7.9,3.3,8.3
2015,7.4,5.7,4.8,16.7,13.1,8.5,3.9,8.3
2016,4.8,7.3,4.8,19.4,15.4,12.9,9.1,14.1
2017,7.8,3.2,6.6,19.2,19.9,13.1,9.9,14.7
2018,5.3,3.8,8.4,17.6,16.2,14.4,8.8,14.4
2019,3.6,5.5,6.8,21.4,23.5,16.3,14.4,23.8
2020,2.7,3.4,12.8,26.9,19.9,17.4,12.6,24.5
2021,3.2,5.2,8.9,23.6,20.1,16.2,14.2,22.8
